State Name,Total Number of Schools ,Total Students ,"Total, All Grades- male ","Total, All Grades- female ",Total Students- Amer Ind/AK Native ,Total Students- Asian/Pacific Islander,Total Students- Black ,Total Students- Hispanic ,Total Students- White ,Total Students- Two or more Races ,Prekindergarten Students ,Kindergarten Students ,First Grade Students ,Second Grade Students ,Third Grade Students ,Fourth Grade Students ,Fifth Grade Students ,Sixth Grade Students ,Seventh Grade Students ,Eighth Grade Students ,Ninth Grade Students ,Tenth Grade Students ,Eleventh Grade Students ,Twelfth Grade Students ,Ungraded Students ,Free Lunch Eligible ,Reduced-price Lunch Eligible ,LEP/ELL Students ,Individualized Education Program ,Total Teachers ,Total Staff ,Pupil-to-Teacher
Alabama,1615,755552,387549,368003,6102,9753,261255,35389,440519,2534,8179,57665,58448,56699,57216,59117,59897,59157,59242,57992,62615,57644,51962,49719,,356929,45457,17559,81216,49363.24,95144.48,15.31
Alaska,518,132104,68169,63935,30433,10556,4788,7802,68967,9558,2990,10120,9991,10006,9787,9917,9988,9933,9636,9622,10023,9723,10725,9643,,42028,8673,14963,18048,8170.64,18102.1,16.17
Arizona,2380,1071751,551429,520322,55312,32427,59549,452283,459348,12832,8554,82860,84473,83544,82485,82862,82690,82305,81445,80636,82304,79842,76275,81326,150,374905,107139,76320,125806,50030.62,96622.35,21.42
Arkansas,1128,482114,246682,235432,3369,8979,103637,47340,312372,6417,14059,37701,37651,36770,36624,36873,36628,36591,36306,36237,37807,35280,32739,30330,518,246451,45157,31537,64883,34272.8,72184.8,14.07
California,10340,6289578,3193286,3023888,43546,724420,416299,3197490,1655539,179880,72404,468036,477086,470001,461967,463691,469800,467271,463505,476639,510011,502452,488530,492545,5640,2848583,487302,0,662508,260806.3,530337.1,24.12
Colorado,1835,843316,432270,411046,7452,26337,40537,266098,479327,23565,30593,65182,65665,65885,64238,63819,63328,61755,60928,59684,62258,60775,58307,60899,,279259,57166,99804,84710,48542.99,101426.27,17.37
Connecticut,1184,560546,288798,271748,2100,24366,74130,104312,347739,7899,15921,39670,40830,41203,40254,41155,41550,41930,42616,42346,45908,43573,42209,41381,,162823,27731,30428,68130,42951.39,93087.95,13.05
Delaware,218,129403,66612,62791,635,4441,41737,15988,64784,1818,1626,9810,10157,10127,9796,9797,9897,9847,9718,9504,11416,10147,9097,8464,,54057,7507,6858,18608,8933,16477.97,14.49
District of Columbia,235,71284,35506,35778,52,1027,55441,8980,5093,691,9581,5939,5240,4915,4873,4877,4825,4391,4439,4307,5858,4516,3851,3407,265,46183,5000,5261,11947,5925.33,11381.12,12.03
Florida,4289,2643347,1359024,1284323,10493,67880,607134,740786,1137860,79194,52779,197097,200806,196620,205650,200682,200738,202303,200147,201676,214993,205142,186399,178315,,1287000,192519,229758,366824,175609.29,333183.15,15.05
